Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,io.github.toolfactory,narcissus,1.0.7,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,io.github.toolfactory,jvm-driver,8.7.10,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.junit.jupiter,junit-jupiter,5.8.2,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.junit.jupiter,junit-jupiter-api,5.8.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.opentest4j,opentest4j,1.2.0,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.junit.platform,junit-platform-commons,1.8.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.apiguardian,apiguardian-api,1.1.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.junit.jupiter,junit-jupiter-params,5.8.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.junit.jupiter,junit-jupiter-engine,5.8.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.junit.platform,junit-platform-engine,1.8.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.openjdk.jmh,jmh-core,1.34,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,net.sf.jopt-simple,jopt-simple,5.0.4,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.apache.commons,commons-math3,3.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.openjdk.jmh,jmh-generator-annprocess,1.34,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.assertj,assertj-core,3.22.0,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,javax.enterprise,cdi-api,2.0,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,javax.el,javax.el-api,3.0.0,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,javax.interceptor,javax.interceptor-api,1.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,javax.inject,javax.inject,1,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.ops4j.pax.url,pax-url-aether,2.6.1,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.ops4j.pax.url,pax-url-aether-support,2.6.1,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.apache.maven.resolver,maven-resolver-impl,1.3.1,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.apache.maven.resolver,maven-resolver-api,1.3.1,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.apache.maven.resolver,maven-resolver-spi,1.3.1,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.apache.maven.resolver,maven-resolver-util,1.3.1,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.slf4j,jcl-over-slf4j,1.6.6,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.slf4j,slf4j-api,2.0.0-alpha5,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.slf4j,slf4j-jdk14,2.0.0-alpha5,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.hibernate.javax.persistence,hibernate-jpa-2.1-api,1.0.2.Final,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,com.google.jimfs,jimfs,1.2,true,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,com.google.guava,guava,30.1-android,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,com.google.guava,failureaccess,1.0.1,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,com.google.code.findbugs,jsr305,3.0.2,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,org.checkerframework,checker-compat-qual,2.5.5,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,com.google.errorprone,error_prone_annotations,2.3.4,false,
Maven,io.github.classgraph,classgraph,4.8.139-SNAPSHOT,com.google.j2objc,j2objc-annotations,1.3,false,
