Source path,Class name,Signature,Checksum,Description,Return value description,Technique 1,Technique 2,Technique 3,Inference time (ms),Input tokens,Output tokens
src/main/java/io/github/classgraph/AnnotationClassRef.java,io.github.classgraph.AnnotationClassRef,"io.github.classgraph.AnnotationClassRef{name=loadClass,return=java.lang.Class<Generic{?}>,parameters=[boolean]}",01d5751afe7e2b6086f2b65ce327ce9e97911306ca181e12f309b2d03ce47e9d,,,,,,0,457,0
src/main/java/io/github/classgraph/AnnotationClassRef.java,io.github.classgraph.AnnotationClassRef,"io.github.classgraph.AnnotationClassRef{name=loadClass,return=java.lang.Class<Generic{?}>,parameters=[]}",2b46b918b78d4fcf3f5b07a14282235a40ab8ad9efa70078bee71bd75e7a1c90,,,,,,0,296,0
src/main/java/io/github/classgraph/AnnotationEnumValue.java,io.github.classgraph.AnnotationEnumValue,"io.github.classgraph.AnnotationEnumValue{name=loadClassAndReturnEnumValue,return=java.lang.Object,parameters=[boolean]}",c394e804186b63f225bf6aae662c7f2d334d5a1aabc9db43dcc901ebeabba0e9,,,,,,0,560,0
src/main/java/io/github/classgraph/AnnotationEnumValue.java,io.github.classgraph.AnnotationEnumValue,"io.github.classgraph.AnnotationEnumValue{name=loadClassAndReturnEnumValue,return=java.lang.Object,parameters=[]}",9379c7f5f1bbfcd6ea71fc9cc314c04e92d535c9efa25f158a32c572d1b7c1cd,,,,,,0,328,0
src/main/java/io/github/classgraph/AnnotationEnumValue.java,io.github.classgraph.AnnotationEnumValue,"io.github.classgraph.AnnotationEnumValue{name=compareTo,return=int,parameters=[io.github.classgraph.AnnotationEnumValue]}",f81c265f5a83811db7813e35e5dcb1b73be636b31270c3ad880fa4ecc74e41a5,,,,,,0,289,0
src/main/java/io/github/classgraph/AnnotationInfo.java,io.github.classgraph.AnnotationInfo,"io.github.classgraph.AnnotationInfo{name=findReferencedClassInfo,return=void,parameters=[java.util.Map<java.lang.String, io.github.classgraph.ClassInfo>,java.util.Set<io.github.classgraph.ClassInfo>,nonapi.io.github.classgraph.utils.LogNode]}",29d92346a6a13f3c37ab3a909dbeb6df47692534287155d0b85cffe4e1999b31,,,,,,0,429,0
src/main/java/io/github/classgraph/AnnotationInfo.java,io.github.classgraph.AnnotationInfo,"io.github.classgraph.AnnotationInfo{name=loadClassAndInstantiate,return=java.lang.annotation.Annotation,parameters=[]}",af32613a59f4a08808c38bef5256373e3bcef13bf3fb939ba7cd3aa6ba9076ab,,,,,,0,722,0
src/main/java/io/github/classgraph/AnnotationInfo.java,io.github.classgraph.AnnotationInfo$AnnotationInvocationHandler,"io.github.classgraph.AnnotationInfo$AnnotationInvocationHandler{name=invoke,return=java.lang.Object,parameters=[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]}",f981523836a53692e8edcd0f76a4ccd14e21884369c3d3c39b688e151bf3976a,,,,,,0,1542,0
src/main/java/io/github/classgraph/AnnotationInfo.java,io.github.classgraph.AnnotationInfo,"io.github.classgraph.AnnotationInfo{name=convertWrapperArraysToPrimitiveArrays,return=void,parameters=[]}",c7858bb4b5bb9eb41fd2d911a959bfda1f0ff5d5e637f27f03076309b81d90f9,,,,,,0,271,0
src/main/java/io/github/classgraph/AnnotationInfo.java,io.github.classgraph.AnnotationInfo,"io.github.classgraph.AnnotationInfo{name=compareTo,return=int,parameters=[io.github.classgraph.AnnotationInfo]}",d354734dcf93e30aa5a7befeb7043b89f8d63fb4f646e3db7dadeeaeadec63be,,,,,,0,475,0
